0,France,Italy,Portugal,Spain,Austria,Bel-Lux,Denmark,Finland,Germany,Greece,Ireland,Netherlands,Sweden,Switzerland,United Kingdom,Other WEM,Bulgaria,Croatia,Georgia,Hungary,Moldova,Romania,Russia,Ukraine,Other ECA,Australia,New Zealand,Canada,United States,Argentina,Brazil,Chile,Mexico,Uruguay,Other LAC,Algeria,Morocco,South Africa,Tunisia,Turkey,Other AME,China,Hong Kong,India,Japan,Korea,Malaysia,Philippines,Singapore,Taiwan,Thailand,Other Asia Pacific,Other,World,Unnamed: 55,Coeff. of variation
1920,45.29229961850139,0.09703690193296972,0.0021278032016478683,0.04850945906511929,8.514809567137702,3.995362404907114,0.3277421993059513,,7.323233938302836,,,0.9958320671219288,0.37816407612225145,12.1777236157501,7.631519129069756,,,,,,,,,,,0.034959167925968135,,,,0.4427040784471157,,,,,,0.9311239918743436,,,0.018960206566855455,,,,,,,,,,,,,,,100.0,,1.1945761708856242
1921,45.3273438581901,0.05386400630404514,,0.01703515810808917,7.469947838810796,3.793180782025147,0.2719005693310061,,6.285581310441008,,,1.054034305801678,0.240010996384777,11.302336011574043,4.841844212383249,,,,,,,,,,,0.03944236653875706,,,,0.043554443050244494,,,,,,0.07133193948498617,,,0.016898233189002982,,,,,,,,,,,,,,,100.0,,1.2052822153763294
1922,64.98906345965692,0.10054590661012369,,0.015475269708295516,7.452282681421973,4.158324659186246,0.42693439276686435,,3.863720924372196,,,1.1991713632400072,0.15918203936814254,9.306026916906795,4.556942702907185,,,,,,,,,,,0.0168161539024807,,,,0.34236383236409734,,,,,,0.1518351760126898,2.497117222703323,,0.014901847427520326,,,,,,,,,,,,,,,100.0,,1.455835599337452
1923,58.888830579075055,0.05254065062757735,,0.022465998061236465,0.9720011288901537,3.9729090160461036,0.3681712431247257,,2.109323490935682,,,0.7269021979642021,0.17718694935391138,7.825998988471734,4.370040687279215,,,,,,,,,,,0.019316282183664112,,,,0.29439175929539213,,,,,,0.13506874008126032,1.8764388406987993,,0.021560597483161897,,,,,,,,,,,,,,,100.0,,1.5919675523869692
1924,52.49108990422051,0.14054859257514138,0.0018452453817752806,0.016336476340120185,2.1867599371991586,3.7746800840940584,0.2439183739034199,,4.312626776799733,,,0.7225288948013833,0.20297699199528085,8.112160009629577,4.627090818654973,,,,,,,,,,,0.020124707444986654,,,,0.23365419646729488,,,,,,0.0783479656318148,1.082351744247563,,0.017042257006804496,,,,,,,,,,,,,,,100.0,,1.584336209581752
1925,54.875067289378364,0.09791559162169933,0.0075137062771304,0.018273898316837144,1.9927683676245846,3.213671848057773,0.29934195152919507,0.00665389701911548,8.506400980917629,0.008001359289138865,0.24930618590232675,0.9543818599095634,0.2343044392960664,9.335648511351021,5.182558051067943,0.5639065435177867,6.416487000111359e-06,,1.9927683676245846,0.024774056307429956,,0.0024190155990419823,0.006827142168118487,,1.9003388723879806,0.023741001900412027,0.07026053265121938,0.199135674048456,0.01860139581332283,0.27905301963484297,1.7666000338446595,0.005543844768096214,0.3312254754327485,0.23366279059605521,2.566922040881549,0.11006200151291014,1.6246737578891965,0.01402644058224343,0.020167018641350003,0.0,3.966678679955841,0.1125259325209529,0.009624730500167038,0.10066826454474712,0.19504195534238497,0.010933693848189756,0.029451675330511136,0.028354456053492093,,0.013615785414236302,0.0,0.789349814266699,,100.0,,3.606519436055125
1926,61.117511717747576,0.07271475590733484,0.006161972698461171,0.020729270338379253,1.8975745652316693,3.6816482598745615,0.30289313023517694,0.014926697740863139,4.0314257129556035,0.005431578944927674,0.18784452050200776,0.93217951988668,0.24371964264732027,8.434152307618199,4.7482318239630485,0.6617019600464182,7.535808568202749e-05,,1.8975745652316693,0.015628107615288163,,0.00013912261972066613,0.015286097841808191,,1.423386709465422,0.023013200012126856,0.06774691902814271,0.2210658427361385,0.01064288040863096,0.22827703185832635,1.9035394475521927,0.004782340052897898,0.2878389034262365,0.26564884558079027,1.8189355044345625,0.10662009768842551,1.667094758561099,0.006040240406205589,0.025697107217571374,0.0,4.174466953131732,0.11698473285761513,0.008695163732541634,0.09620329153684062,0.16143440985836796,0.009796551138663573,0.033174948027557175,0.026775307520406532,,0.012967387513130422,0.0,0.9091953037536616,,100.0,,3.974574583927951
1927,60.51196552757091,0.14693601355511493,0.003036541950476489,0.021169200251705864,2.475884312285755,2.4988084721438195,0.25667438821689287,0.01670098072762069,7.850326875998019,0.013733713498447847,0.1492927973027994,0.8227527733496374,0.2955375068682383,6.960302575369099,4.861901992360354,0.6157194958402489,0.00023091573767882047,,2.475884312285755,0.016666343366968865,,0.006471413548448942,0.0,,1.8393766271609702,0.02349567630881998,0.05236014351867253,0.29741369723687877,0.0059576260321135685,0.2628975673473371,1.430892460100579,0.0034810547455082184,0.22580095408923456,0.12638595612506043,1.5982659596636295,0.07802065486823147,1.5280329380486168,0.013670211670586171,0.020436042784575607,0.0,3.8449506328365137,0.05516576973147022,0.008659340162955767,0.09636113733337177,0.12209669629767632,0.0022745200161363812,0.03476436430754642,0.034677770905916866,,0.015575266506436439,0.0,0.754875092258948,,100.0,,3.920537208998861
1928,65.01978234197203,0.09516369851303182,0.0017372325412764484,0.012122625827094717,2.617260258170182,2.257338248727851,0.24937430244854267,0.012263775971073428,7.441001282422348,0.012193200899084072,0.14202418910104114,0.7755657526461044,0.284167812939295,6.723279944549057,3.3673104078662885,0.5134010756124139,2.7144258457444506e-05,,2.617260258170182,0.009706786824382157,,0.004663383602988966,0.0,,1.87838268525516,0.0187838268525516,0.04832220890594271,0.29472692947924095,0.01042339524765869,0.24766421416572365,0.4687867724117581,0.005857730975116525,0.22724358852818818,0.133294595581127,1.452174396659749,0.09500490460105576,0.8403862418424819,0.013990150808966897,0.023479783565689496,0.0,3.4044106374407552,0.05382706452111245,0.008143277537233352,0.09445116172852391,0.13927176129345628,0.0012812089991913807,0.025412454767859544,0.026601373288295614,,0.015075921147264679,0.0,0.9346202495033463,,100.0,,4.1937558508207955
1929,64.63124262643971,0.13648294470977165,0.0034873347618241046,0.013379758947522372,2.2813617418930856,2.4122630702949297,0.2903031553810618,0.005647440423231331,6.199879386040477,0.010462004285472311,0.13380833626955907,0.7906953932240631,0.31445120225261414,6.284607112580451,3.741415846897837,0.8180513582047202,3.761378017375767e-05,,2.2813617418930856,0.007270206367870591,,0.003207918109104762,0.0,,1.8520488017841512,0.018645688171848446,0.05249809032823036,0.3270195782278169,0.004234236968131578,0.22235117479858466,1.3289700810992062,0.00709777405275975,0.23966963387001625,0.11846728735583362,1.2680577344121347,0.1269357612920968,1.2594114547635928,0.012546882386532022,0.02973637992593928,0.011687138839703277,3.7654564258260366,0.03444884924199435,0.008060095751519501,0.0907244377791035,0.15974572439794885,0.009263736717079748,0.03149348079977053,0.026211431383941417,,0.03610385556963969,0.0,0.8810598133929322,,100.0,,4.173771570233634
1930,68.71316269915559,0.15909145080294262,0.003476208725712403,0.005227703723105246,1.9970953035563122,2.19459645046416,0.3330090121648559,0.005800822881273547,4.447672480076745,0.0046278032958636615,0.14089625659455277,0.7552264316128244,0.348156497952706,6.235981009937727,3.369619274800728,0.770223942293864,1.071250762931403e-05,,1.9970953035563122,0.0046278032958636615,,0.0019496763885351533,0.0,,1.7178737921982417,0.019764576576084384,0.04998456059837926,0.2722690939066454,0.009212756561210065,0.210340087301581,0.8636423650752971,0.0061630127642206545,0.002844170775582875,0.19489265130011013,1.0225216011021034,0.13307612602515353,1.4533284162923317,0.011633783285435035,0.031350153577187505,0.0004124315437285902,3.487697890144842,0.023872823251926318,0.008034380721985522,0.08168287067351948,0.11009244090646028,0.008045093229614837,0.021955284386279104,0.019566395184942076,,0.031001997079234803,0.0,0.7182897053069497,,100.0,,4.440222419809482
1931,75.24524586771028,0.13902528246417603,0.0020354280480465686,0.0018521430579381097,1.3604617788153155,1.6890917660797822,0.2759210827406446,0.004919754997648104,3.314805511895745,0.004881168683941061,0.12425757671510827,0.5775020640964734,0.323488360963003,5.579990941621693,3.2243206062527263,0.7057919105939676,0.0,,1.3604617788153155,0.0031737243024043647,,0.0007283166712204547,0.0,,0.8704059481574304,0.003376302449366346,0.03042530835800416,0.2033112869224146,0.0039068642628382,0.11648243450313894,0.33754342573079377,0.00253159980942702,0.13554889676363205,0.1130530758724254,0.7780502333272186,0.11699852644897066,1.311066473981086,0.008662627427231367,0.031809592362244364,0.00026045761752254673,2.5633563456079167,0.015270533649562648,0.007234933820070741,0.062070908886993584,0.07888971837405136,0.005980878624591813,0.013625792027799897,0.01929798014273536,,0.01835261545691278,0.0,0.5749939537055155,,100.0,,4.887204042210481
1932,74.81544840705676,0.11348780324823783,0.0015127489738989328,0.0024314001689575574,0.9401157277719105,1.5771755774709486,0.19919328397765185,0.0651307194580486,3.8846843559188633,0.0021233494688181385,0.11051318867501658,0.5204186524533907,0.24118169458772656,6.596630698217678,3.105668142509149,0.6939777174551551,7.151176967522228e-05,,0.9401157277719105,0.0012982136648732661,,0.000308050700139419,0.0,,0.6759237460648413,0.0020903440366603437,0.024589046957557197,0.17493429134167257,0.006997151617452519,0.062160230563847056,0.287664344876621,0.0013226376846700342,0.14681916404859097,0.01909364250328435,0.7543972415269999,0.12242814968398054,0.9071102956141157,0.006535075567243389,0.03973854031798506,1.6502716078897447e-05,3.0438654707936785,0.03748867002589537,0.008251358039448724,0.05466799746402762,0.09303681234746418,0.009230519193463306,0.011260353271167691,0.016431204309222226,,0.02206963230284552,0.0,0.6005063335842801,,100.0,,4.886157262249491
1933,78.3603929144741,0.09830728989052784,0.001367721883186864,0.004477009630965001,0.2981633705347364,1.2505537085271892,0.18099519587506166,0.023251272014176688,3.20589450346057,0.00045590729439562135,0.09026964429033303,0.35378406045100214,0.13950763208506015,6.2819466094772665,3.026312620198134,0.6090921453125501,0.0,,0.2981633705347364,0.0009118145887912427,,0.00045590729439562135,0.0,,0.47459949346584185,0.003054578872450663,0.02370717930857231,0.11260910171571846,0.23615997849693185,0.04376710026197965,0.34284228538550726,0.0002819330708542522,0.12127134030923527,0.031457603313297874,0.5229256666717776,0.30238507208083987,0.5566628064570536,0.007294516710329942,0.023251272014176688,0.0,2.6251142011299877,0.04559072943956213,0.00683860941593432,0.054252968033078934,0.06929790874813445,0.0009118145887912427,0.009574053182308048,0.012765404243077398,,0.014589033420659883,0.0,0.4326560223814446,,100.0,,5.149237133264839
1934,72.51316910835749,0.1899724502170804,0.0017448675106046417,0.0035129999213506786,0.28266853671795195,1.470341688936178,0.2791788016967427,0.03780546272976724,5.326847860874557,0.0011632450070697613,0.11167152067869707,0.46587962533143934,0.23555711393162662,6.6531798179355,3.8416166358478865,0.711324321823159,0.0,,0.28266853671795195,0.0011632450070697613,,0.0011632450070697613,0.0,,0.5851122385560898,0.006397847538883686,0.03955033024037188,0.14075264585544112,0.8253223325159955,0.03675854222340445,0.37863624980120725,0.0006338522043523128,0.23439386892455685,0.00872433755302321,0.7409870695034378,0.3026356372643044,0.5275316107061367,0.012214072574232493,0.029081125176744032,0.0,3.086670626259611,0.07270281294186007,0.00930596005655809,0.07444768045246472,0.09887582560092971,0.0011632450070697613,0.01919354261665106,0.016285430098976657,,0.022683277637860343,0.0,0.6019792911586015,,100.0,,4.773157644321325
1935,72.28208833721172,0.31300151478823085,0.013459473309051884,0.001544913458082477,0.3774504471451507,1.9007117090348054,0.32829410984252644,0.05266750425281172,5.2658726335436254,0.000585194491697908,0.12581681571505024,0.5372085433786796,0.26626349372254815,5.083584549379728,4.279527317786801,0.7794790629416135,0.0,,0.3774504471451507,0.001170388983395816,,0.001170388983395816,0.0,,0.6460547188344904,0.007549008942903014,0.0438895868773431,0.1375207055490084,0.6086022713658243,0.04195844505474001,0.3961766708794837,0.0006032184820422036,0.17321756954258077,0.008192722883770712,0.7900125637921758,0.14844043476409133,0.3271237208591306,0.014044667800749793,0.02399297415961423,0.0,4.0875835245098875,0.06378619959507198,0.008192722883770712,0.08953475722977994,0.10709059198071716,0.001170388983395816,0.021652196192822597,0.016385445767541425,,0.02457816865131214,0.0,0.6027503264488453,,100.0,,4.749848697302891
1936,70.14399950388699,0.1275600987226585,0.0017419698709181454,0.0,0.38845928121474654,1.964942014395668,0.29555422143244536,0.06038828885849572,5.462236858575665,0.0011613132472787636,0.12716380057702464,0.5620756116829216,0.2833604323360184,4.7189963803172565,4.60344571221302,0.7856284117840836,0.0,,0.38845928121474654,0.0017419698709181454,,0.0005806566236393818,0.0046452529891150545,,0.5893664729939726,0.007896930081495593,0.05167843950390498,0.1219378909642702,0.7943382611386746,0.044013772071865145,0.3989111004402553,0.0011613132472787636,0.1440028426625667,0.009871162601869491,0.8001448273750681,0.26336842478411443,0.25374694453040986,0.014516415590984546,0.030774801052887237,0.0,5.96508549464737,0.018000355332820836,0.009290505978230109,0.07896930081495593,0.09522768627685863,0.0011613132472787636,0.019161668580099604,0.01509707221462393,,0.028452174558329713,0.0,0.7101430507109641,,100.0,,4.616131854535187
1937,68.99448467534008,0.1146598368493467,0.002253866761990205,0.0,0.3324453473935552,2.3096499643494623,0.3245568137265895,0.09522587069408615,6.004864520632403,0.0011269333809951025,0.13692240579090492,0.6293922932857647,0.3144144132976336,5.230097821198271,4.606903661507979,0.6400981604052182,0.0,,0.3324453473935552,0.0016904000714926537,,0.0011269333809951025,0.0005634666904975513,,0.6305192266667597,0.008790080371761799,0.056346669049755126,0.13128773888592946,0.809701634244981,0.06564386944296473,0.4338693516831144,0.0016904000714926537,0.1605880067918021,0.011269333809951024,0.7567357653382113,0.11819277299876634,0.22764054296101072,0.012396267190946126,0.03211760135836042,0.0,5.78229517788587,0.01915786747691674,0.00901546704796082,0.07494106983617431,0.10818560457552984,0.0011269333809951025,0.024792534381892252,0.016340534024428983,,0.025356001072389805,0.0,0.7415221646947774,,100.0,,4.5470601636171715
1938,73.61405828765642,0.08980762492729835,0.001831383743307852,0.0,0.29988908796666075,1.805744370901542,0.27516540743200474,0.0814965765771994,5.800908006927621,0.0022892296791348146,0.10026825994610489,0.48028038668248413,0.29988908796666075,4.383416989607343,3.3148045753872117,0.5237757505860456,0.0,,0.29988908796666075,0.0013735378074808888,,0.000457845935826963,0.0,,0.5988624840616675,0.010347318149689363,0.04120613422442666,0.09340057090870044,0.5942840247033979,0.048623238384823464,0.6006938678049754,0.001831383743307852,0.07783380909058371,0.008927995748625777,0.5962985468210366,0.10244760660064123,0.1767285312292077,0.011446148395674073,0.024265834598829035,0.0,5.1947199878927215,0.0027470756149617775,0.009156918716539258,0.060893509464986076,0.010072610588193186,0.000457845935826963,0.018771683368905483,0.01098830245984711,,0.022892296791348146,0.0,0.6066458649707259,,100.0,,4.843305638320159
1939,71.89609774690324,0.041987921458984216,0.0019461095388066435,0.0,,1.469312701799016,0.3250002929807095,0.058869813548900966,8.463630384270093,0.0019461095388066435,0.1269836474071335,0.5697235674856449,0.003332712585206377,4.838028313473316,3.819239969908038,0.7813873062001024,0.0,,,0.0014595821541049827,,0.0004865273847016609,0.0,,0.9808392075585484,0.009098062093921059,0.023353314465679724,0.09973811386384049,0.7200605293584582,0.04257114616139533,0.3537054086781075,0.0019485908284686223,0.09973811386384049,0.009244020309331557,0.662891080366351,0.1070360246343654,0.225262179116869,0.008757492924629897,0.024995344389047828,0.0004865273847016609,3.3317395304369737,0.004865273847016609,0.008757492924629897,0.031137752620906296,0.004378746462314949,0.0,0.01702845846455813,0.012649712002243185,,0.0,0.0024326369235083043,0.817852533683492,,100.0,,4.558732518624201
1940,64.11234137066592,0.032652848638877914,0.002013536401164106,0.00018121827610476955,,1.0383136042002905,0.35639594300604677,0.07315848924229586,11.893288342875987,0.0013423576007760706,0.1536999452888601,0.6007050263472916,0.0018323181250593365,6.554060985789165,4.625093113473952,0.6243271642269452,0.0,,,0.002013536401164106,,0.0006711788003880353,0.0,,1.5477383136948095,0.008054145604656424,0.04228426442444622,0.1536999452888601,0.9154878837292802,0.047385223307395294,0.33424704259324156,0.0019071545613026024,0.1483305148857558,0.016779470009700884,0.8185418110330318,0.13020868727527884,0.27786802336064664,0.012752397207372672,0.03339114531930476,0.0006711788003880353,4.433135976562974,0.004027072802328212,0.008054145604656424,0.0456401584263864,0.0,0.0,0.02751833081590945,0.012081218406984635,,0.0,0.002013536401164106,0.9060913805238477,,100.0,,4.111463202009197
1941,63.47313397074868,0.041054916020784676,0.0018758314476342308,3.126385746057051e-05,,1.2030332350827533,0.09066518663565448,0.030638580311359097,18.80208387678711,0.0,0.18820842191263448,0.2726208370561749,0.0013255875563281897,6.861166158296804,0.7309489874281385,0.7104570920556157,0.0018758314476342308,,,0.004376940044479871,,0.0,0.0,,0.810984462527199,0.0018133037327130895,0.02876274886372487,0.12005321264859077,0.3907982182571314,0.01419379128709901,0.37891795242211457,0.0006252771492114102,0.11254988685805384,0.0012505542984228204,0.758648765138204,0.1037960067690941,0.28012416284671177,0.011880265835016795,0.030091462805799118,0.0,3.4596584665867325,0.006252771492114103,0.0025011085968456408,0.05252328053375847,0.0,0.0,0.023135254520822178,0.006878048641325512,,0.0,0.0012505542984228204,0.9898137272016624,,100.0,,4.162526238258852
1942,47.58840123065276,0.023826300368103917,0.002070951792099428,0.00029718158216626787,,1.0810368354759012,0.15014400492720853,0.11493782446151825,29.885905311786843,0.001035475896049714,0.34895537696875356,0.2257337453388376,0.3417070456964056,10.856964770081252,0.42558059327643244,0.39840504612254846,0.0,,,0.008283807168397711,,0.013461186648646279,0.0,,0.5187734239209066,0.0014496662544695995,0.06212855376298283,0.21537898637834046,0.40176464766728903,0.03499908528648033,0.42350964148433295,0.0017889917056050906,0.09422830654052396,0.003106427688149142,0.6683710082177697,0.031064276881491416,0.839770951696318,0.004141903584198856,0.0481496291663117,0.0,4.332431149072003,0.006212855376298284,0.0,0.052809270698535415,0.0,0.0,0.0,0.0,,0.0,0.0,0.7931745363740809,,100.0,,3.5574754968085993
1943,0.04770184780501259,0.03124709540467349,0.0057242217366015105,0.0002404173129372635,,3.417360376751102,0.17554279992244634,0.29956760421547907,54.05344424394563,0.0019080739122005034,0.5037315128209329,0.3739824867912987,0.9330481430660462,18.82505721777017,0.9425885126270487,0.10626826846609522,0.0,,,0.011448443473203021,,0.0,0.0,,0.6411128344993692,,0.19080739122005036,0.253773830322667,3.024297150837798,0.006296643910261662,1.1162232386372946,0.007021330382115413,0.31483219551308306,0.003816147824401007,1.0552034165399051,0.0,4.512594802354191,0.0019080739122005034,0.0856248168099976,0.0,8.344007218052802,0.019080739122005037,0.0,0.08013910431242115,0.0,0.0,0.0,0.0,,0.0,0.0,0.6143997997285622,,100.0,,3.532262460541238
1944,0.12605944603305072,,0.005145283511553091,0.00032415286122784476,,1.754541677439604,0.11834152076572108,0.18265756466013472,37.61459511120887,0.0,0.010290567023106182,0.0,0.9878944342181935,14.049196628295716,1.499850143617726,1.7362090322879375,0.0,,,0.0,,0.0,0.0,,1.2966114449113788,0.0007717925267329637,0.14921322183503963,0.34987927878561015,7.880001697943559,0.060199817085171164,1.6619265742316485,0.0025726417557765456,0.5839896785612758,0.005145283511553091,2.010776796314948,0.0,12.706277631780358,0.0025726417557765456,0.11126675593733559,0.0,14.33475986318691,0.028299059313542,0.0,0.1286320877888273,0.0,0.0,0.0,0.0,,0.0,0.0,0.6019981708517116,,100.0,,2.6995220941104487
1945,19.68721310837245,,0.0051904068305753896,0.0005034694625658128,,3.6254991711569096,0.1323553741796724,0.1894498493160017,0.0,0.0,0.5449927172104159,0.0,1.658334982368837,20.852459441836626,4.471535484540698,1.7642348529330665,0.0,,,0.0025952034152876948,,0.0,0.0,,0.11159374685737088,,0.24394912103704328,0.6020871923467451,2.63413146651701,0.07500137870181436,3.39971647402688,0.020623822020949777,0.6228488196690467,0.0051904068305753896,1.931228666616925,0.05190406830575389,12.817709668105923,0.0077856102458630835,0.10802534216135028,0.0,23.696802384991937,0.03892805122931542,0.0,0.16349781516312475,0.0,0.0,0.0,0.025952034152876946,,0.0,0.0,0.5086598693963882,,100.0,,2.30113720348814
1946,67.77708105627207,0.00638832943213812,0.007301991064024141,0.0008915731089173476,0.007301991064024141,2.964608371993801,0.21175774085670007,0.014603982128048282,0.1095298659603621,0.0,0.24096570511279664,0.3724015442652312,0.5768572940579071,9.434172454719189,2.811266559649294,0.7220055422294752,0.0,,0.007301991064024141,0.0,,0.0,0.0,,0.21175774085670007,0.00014603982128048282,0.05111393744816898,0.31398561575303807,1.3873783021645867,0.04753596182679715,1.2267344987560556,0.00790988182010415,0.24826769617682076,0.021905973192072423,0.7477731733957543,0.043811946384144845,2.329335149423701,0.021905973192072423,0.029207964256096564,0.0,7.542956769136937,0.0,0.007301991064024141,0.08762389276828969,0.0,0.0,0.0,0.043811946384144845,,0.0,0.0,0.3724015442652312,,100.0,,4.503701399600425
1947,61.83474046116251,0.011289647801976133,0.00956749813726791,0.000951966064658157,0.10524247950994702,3.0233294113766593,0.23918745343169773,0.028702494411803732,0.03826999254907164,0.000956749813726791,0.2678899478435015,0.7079948621578254,0.7271298584323612,8.208913401775867,4.793316566771223,1.4343951988572199,0.0,,0.10524247950994702,0.0,,0.0,0.0,,1.0237223006876663,0.0014351247205901866,0.12437747578448284,0.2870249441180373,0.8228048398050404,0.03568676805200931,1.5307997019628656,0.01268688522994274,0.2583224497062336,0.028702494411803732,1.1954011045628763,0.0956749813726791,2.0761470957871366,0.028702494411803732,0.028702494411803732,0.0,9.596200631679713,0.0,0.028702494411803732,0.028702494411803732,0.005740498882360746,0.0,0.0,0.028702494411803732,,0.0,0.0,1.3298822410802396,,100.0,,4.121046247639759
1948,71.17955462616699,0.00419872322303383,0.007194214132420356,4.100702055479603e-05,0.2877685652968142,2.820131939908779,0.28057435116439383,0.03597107066210178,0.1438842826484071,0.014388428264840712,0.17985535331050886,0.769780912168978,0.726615627374456,6.640259644223987,3.8057392760503683,1.9381899920190138,0.0,,0.2877685652968142,0.0,,0.0,0.0,,0.007194214132420356,0.006187024153881506,0.08633056958904427,0.21582642397261065,0.7913635545662391,0.01604309751529739,0.769780912168978,0.003875451210993521,0.007194214132420356,0.014388428264840712,0.7714450058399482,0.07913635545662391,1.1222974046575753,0.007194214132420356,0.07194214132420355,0.0,5.978391944041316,0.007194214132420356,0.014388428264840712,0.021582642397261067,0.008633056958904426,0.0,0.021582642397261067,0.007194214132420356,,0.0,0.0,1.1366858329224163,,100.0,,4.687947971528019
1949,72.34264680742152,0.37381568910878016,0.007021512841640447,0.001872637474865507,0.3019250521905392,3.068401111796875,0.5336349759646739,0.05617210273312358,0.7723664125804491,0.014043025683280894,0.12638723114952805,0.38618320629022457,0.49150589891483126,5.82785565856157,2.7945621109728975,1.6745117980885762,0.0,,0.3019250521905392,0.0,,0.0,0.0,,0.05383159845257676,0.01397281055486449,0.0912796669413258,0.23170992377413474,0.8425815409968537,0.0015447328251608982,0.2246884109324943,2.597959751406965e-06,0.014043025683280894,0.007021512841640447,0.9252923643116266,0.14394101325362915,1.3621734912782466,0.007021512841640447,0.02808605136656179,0.0,6.108716172227188,0.10532269262460671,0.02106453852492134,0.05617210273312358,0.012638723114952803,0.0,0.02106453852492134,0.007021512841640447,,0.0,0.0,0.9479042336214603,,100.0,,4.7583405108403705
1950,69.18173585405955,0.2277200998891556,0.005748856228524145,0.0014475619983423797,0.29894052388325554,2.6847158587207756,0.3334336612544004,0.06323741851376559,4.966091964448297,0.01149771245704829,0.13797254948457946,0.3104382363403038,0.4426619295963591,5.467162273326461,2.4432638971227614,1.5299313229418712,0.0,,0.29894052388325554,0.0,,0.0,0.0,,0.08240027260884607,0.006898627474228973,0.09773055588491045,0.20695882422686918,1.0117986962202494,0.007416024534796147,0.25294967405506236,2.7594509896915893e-06,0.034493137371144865,0.02299542491409658,0.8491607940643118,0.1782145430842485,0.6668673225088008,0.005748856228524145,0.02874428114262072,0.0,7.186070285655181,0.02874428114262072,0.02299542491409658,0.034493137371144865,0.013797254948457946,0.0,0.02299542491409658,0.005748856228524145,,0.0,0.0,1.1267758207907324,,100.0,,4.5605745960700075
1951,59.93771004197587,0.34950640791304216,0.005935014362013652,0.0011140021957499625,0.20772550267047782,2.8191318219564847,0.46293112023706484,0.17805043086040956,7.037502629901309,0.01780504308604096,0.16618040213638227,0.38577593353088735,0.5222812638572014,5.869729204031502,3.1633626549532763,1.601339875547935,0.0,,0.20772550267047782,0.005935014362013652,,0.03964589593825119,0.2655918927001109,,0.12463530160228668,0.012344829872988397,0.07715518670617748,0.25520561756658705,1.175132843678703,0.0167367405008785,0.5875664218393515,0.0,0.18992045958443687,0.04154510053409557,1.2058762180739337,1.501558633589454,0.24927060320457337,0.005935014362013652,0.36797089044484643,0.0,9.721553524978361,0.0,0.029675071810068256,0.029675071810068256,0.01780504308604096,0.0,0.011870028724027305,0.005935014362013652,,0.0,0.0,1.3353782314530718,,100.0,,3.991421090362887
1952,62.31666889024675,0.2631731294081064,0.005299937820228504,0.0013594340508886111,0.30209645575302474,2.6393690344737952,0.3179962692137102,0.19079776152822614,6.98001810924094,0.01589981346068551,0.11659863204502709,0.31269633139348174,0.6041929115060495,5.167439374722791,2.199474195394829,0.9685291870509325,0.0,,0.30209645575302474,0.03179962692137102,,0.07080716927825281,0.47434443491045114,,0.005299937820228504,0.01923877428742947,0.06359925384274204,0.2596969531911967,1.0705874396861577,0.0017489794806754065,0.2596969531911967,0.0,0.06889919166297055,0.021199751280914017,0.549444553823089,2.310772889619628,0.4504947147194229,0.005299937820228504,0.03179962692137102,0.0,10.356078500726497,0.0,0.021199751280914017,0.042399502561828034,0.021199751280914017,0.0,0.03179962692137102,0.005299937820228504,,0.0,0.0,1.4256832736414675,,100.0,,4.143992327778747
1953,59.92266948338314,0.25401657928966814,0.00506745619309794,0.006563876006919761,0.3952615830616393,2.447581341266305,0.45100360118571664,0.1773609667584279,8.224481401397957,0.015202368579293819,0.09628166766886086,0.3547219335168558,0.6384994803303404,4.885027770146414,2.4019742355284235,0.17586454694460465,0.0,,0.3952615830616393,0.055742018124077336,,0.10155182210968272,0.6803059939233984,,0.06587693051027321,0.001773609667584279,0.04560710573788146,0.2837775468134846,1.1452450996401344,0.0008107929908956704,0.1418887734067423,0.0,0.07094438670337115,0.01013491238619588,1.134299394263043,2.3918393231422277,0.1874958791446238,0.01013491238619588,0.015202368579293819,0.0,11.842645123269886,0.0,0.015202368579293819,0.01013491238619588,0.035472193351685576,0.0,0.030404737158587637,0.00506745619309794,,0.0,0.0,1.2668640482744848,,100.0,,4.008830918006142
1954,63.19657675272688,0.21465886496977396,0.0041402369465885006,0.0019661985259348783,0.37262132519296504,2.2481486619975555,0.42644440549861556,0.19873137343624803,8.317736025696297,0.0041402369465885006,0.0952254497715355,0.4181639316054385,0.629316015881452,4.314126898345217,2.2605693728373213,0.258868729109141,0.0,,0.37262132519296504,0.37262132519296504,,0.11062713121284473,0.7411024134393416,,0.298097060154372,0.00761803598172284,0.020701184732942503,0.25255445374189855,0.99365686718124,0.000455426064124735,0.1449082931305975,0.00380901799086142,0.041402369465885006,0.0041402369465885006,0.9604107645001345,0.29726901276505435,0.115926634504478,0.008280473893177001,0.0041402369465885006,0.0,11.836937430296523,0.0,0.008280473893177001,0.008280473893177001,0.008280473893177001,0.0,0.024841421679531003,0.0041402369465885006,,0.0,0.0,0.770084072065461,,100.0,,4.2185412702341845
